s__Paraburkholderia_humisilvae	902859855
s__Paraburkholderia_panacisoli	008369935
s__Paraburkholderia_sp003121405	003121405
s__Paraburkholderia_oxyphila	000685075
s__Paraburkholderia_sp017104715	017104715
s__Paraburkholderia_sp004361815	004361815
s__Paraburkholderia_unamae	003268775
s__Paraburkholderia_sp005503145	005503145
s__Paraburkholderia_sp017814945	017814945
s__Paraburkholderia_sp001319865	001319865
s__Paraburkholderia_phenazinium_B	900141745
s__Paraburkholderia_phenazinium	900100735
s__Paraburkholderia_phosphatilytica	003443895
s__Paraburkholderia_fungorum_A	900099835
s__Paraburkholderia_sabiae	904848645
s__Paraburkholderia_phenazinium_A	900142845
s__Paraburkholderia_sp900996235	900996235
s__Paraburkholderia_aromaticivorans_A	012689525
s__Paraburkholderia_tropica	900109265
s__Paraburkholderia_sp900996245	900996245
s__Paraburkholderia_bannensis	000685015
s__Paraburkholderia_rhizosphaerae	004366595
s__Paraburkholderia_sp013177735	013177735
s__Paraburkholderia_sp017104965	017104965
s__Paraburkholderia_sp003429005	003429005
s__Paraburkholderia_mimosarum	000739815
s__Paraburkholderia_azotifigens	007995085
s__Paraburkholderia_sp013426915	013426915
s__Paraburkholderia_sp001922345	001922345
s__Paraburkholderia_sp004353915	004353915
s__Paraburkholderia_ginsengiterrae	001645125
s__Paraburkholderia_sp004197395	004197395
s__Paraburkholderia_sp900142905	900142905
s__Paraburkholderia_phymatum	000020045
s__Paraburkholderia_sp017104565	017104565
s__Paraburkholderia_metrosideri	904848625
s__Paraburkholderia_acidisoli	009789675
s__Paraburkholderia_solisilvae	902859875
s__Paraburkholderia_sp004339745	004339745
s__Paraburkholderia_fungorum_B	003610895
s__Paraburkholderia_ferrariae	000685035
s__Paraburkholderia_fungorum	902833645
s__Paraburkholderia_lacunae	003353175
s__Paraburkholderia_sp012927345	012927345
s__Paraburkholderia_megapolitana	007556815
s__Paraburkholderia_hospita	002902965
s__Paraburkholderia_sp900104795	900104795
s__Paraburkholderia_sp004359985	004359985
s__Paraburkholderia_sp011753055	011753055
s__Paraburkholderia_piptadeniae	900007165
s__Paraburkholderia_rhynchosiae	002879865
s__Paraburkholderia_sp900996225	900996225
s__Paraburkholderia_hiiakae	904848665
s__Paraburkholderia_xenovorans	000013645
s__Paraburkholderia_kururiensis	003986935
s__Paraburkholderia_kirstenboschensis	904848585
s__Paraburkholderia_sp013426895	013426895
s__Paraburkholderia_caffeinitolerans	902859945
s__Paraburkholderia_franconis	009362735
s__Paraburkholderia_sp001931485	001931485
s__Paraburkholderia_sp900230185	900230185
s__Paraburkholderia_susongensis	900177725
